SAMPLE,PRIMER,PRIMER MARKER,OTUID,OTUID-SOURCE,OTU MARKER,MARKER-LENGTH,OTU-LENGTH,length difference,N.READS,%READS,%READS 2,PROTAX-order,PROTAX-order_prob,PROTAX-family,PROTAX-family_prob,PROTAX-genus,PROTAX-genus_prob,PROTAX-spp,PROTAX-spp_prob,PROTAX-bestsim,PROTAX-bestsim-pident,PIMBA-HIT,PIMBA-pident,BLASTn-HIT,BLASTn-pident,BLASTn-alignment length,length difference 2,SANGER-class blastn DB2024.3,SANGER-order blastn DB2024.3,SANGER-family blastn DB2024.3,SANGER-genus blastn DB2024.3,SANGER-spp blastn DB2024.3,SANGER-pident blastn DB2024.3,SANGER-class blastn nt remote,SANGER-order blastn nt remote,SANGER-family blastn nt remote,SANGER-genus blastn nt remote,SANGER-spp blastn nt remote,SANGER-pident blastn nt remote
AC0250,U,12S,OTU41234254,all-OTU,12S,220,216,4,162,0.004128125,0.007916728,"root,unk",-0.07859,,,,,,,Equus_caballus_AB859014.1,0.528,k__Metazoa; p__Chordata; c__Mammalia; o__Perissodactyla; f__Equidae; g__Equus; s__caballus,0.77828,Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,0.99048,210,6,,,,,,,,,,,,
AC0250,U,12S,OTU646440807,all-OTU,12S,220,221,1,67,0.001707311,0.003274202,Chiroptera,-1.03228,"Chiroptera,Molossidae",-1.79201,"Chiroptera,Molossidae,unk",-1.79203,,,Equus_caballus_AB859014.1,0.652,k__Metazoa; p__Chordata; c__Mammalia; o__Perissodactyla; f__Equidae; g__Equus; s__caballus,0.84375,Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,0.99541,218,,,,,,,,,,,,,
AC0250,U,12S,OTU504716109,all-OTU,12S,220,214,6,57,0.001452488,0.002785515,"root,unk",-0.793989,"Rodentia,unk",-1.74579,"Carnivora,Canidae,unk",-2.80956,,,Lycalopex_sechurae_KT448284.1,0.603,k__Metazoa; p__Chordata; c__Mammalia; o__Carnivora; f__Canidae; g__Speothos; s__venaticus,0.81448,Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,0.98585,212,,,,,,,,,,,,,
AC0250,U,12S,OTU785684198,all-OTU,12S,220,225,5,4,0.000101929,0.000195475,Artiodactyla,-0.000111624,"Artiodactyla,Delphinidae",-0.000142834,"Artiodactyla,Delphinidae,Lagenorhynchus",-0.267674,"Artiodactyla,Delphinidae,Lagenorhynchus,unk",-0.26839,Lagenorhynchus_australis_OQ776906.1,0.941,k__Metazoa; p__Chordata; c__Mammalia; o__Artiodactyla; f__Delphinidae; g__Sotalia; s__fluviatilis,0.9955,,,,,,,,,,,,,,,,
AC0257,U,12S,OTU355307225,all-OTU,12S,220,224,4,5743,0.778078851,0.88218126,Primates,-0.0870043,"Primates,Hominidae",-0.0870054,"Primates,Hominidae,Homo",-0.0975644,"Primates,Hominidae,Homo,unk",-0.380974,Homo_sapiens_AF121219.1,0.986,k__Metazoa; p__Chordata; c__Mammalia; o__Primates; f__Hominidae; g__Homo; s__sapiens,0.99099,,,,,,,,,,,,,,,,
AC0257,U,12S,OTU999774133,all-OTU,12S,220,224,4,523,0.070857607,0.080337942,Sirenia,-0.00528543,"Sirenia,Trichechidae",-0.00528567,"Sirenia,Trichechidae,Trichechus",-0.0116285,"Sirenia,Trichechidae,Trichechus,inunguis",-0.356901,Trichechus_inunguis_MW073826.1,0.982,k__Metazoa; p__Chordata; c__Mammalia; o__Sirenia; f__Trichechidae; g__Trichechus; s__manatus,1,,,,,,,,,,,,,,,,
AC0257,U,12S,OTU646440807,all-OTU,12S,220,221,1,188,0.025470803,0.028878648,Chiroptera,-1.03228,"Chiroptera,Molossidae",-1.79201,"Chiroptera,Molossidae,unk",-1.79203,,,Equus_caballus_AB859014.1,0.652,k__Metazoa; p__Chordata; c__Mammalia; o__Perissodactyla; f__Equidae; g__Equus; s__caballus,0.84375,Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,0.99541,218,,,,,,,,,,,,,
AC0257,U,12S,OTU41234254,all-OTU,12S,220,216,4,26,0.003522558,0.003993856,"root,unk",-0.07859,,,,,,,Equus_caballus_AB859014.1,0.528,k__Metazoa; p__Chordata; c__Mammalia; o__Perissodactyla; f__Equidae; g__Equus; s__caballus,0.77828,Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,0.99048,210,6,,,,,,,,,,,,
AC0257,U,12S,OTU216452375,all-OTU,12S,220,220,0,24,0.003251592,0.003686636,Primates,-0.326771,"Primates,Cebidae",-0.547515,"Primates,Cebidae,unk",-0.547675,,,Homo_sapiens_AF121219.1,0.686,k__Metazoa; p__Chordata; c__Mammalia; o__Primates; f__Cebidae; g__Sapajus; s__nigritus,0.85253,Chordata;Mammalia;Primates;Cebidae;Callithrix;Callithrix jacchus,0.94009,217,,,,,,,,,,,,,
AC0257,U,12S,OTU665151296,all-OTU,12S,220,222,2,3,0.000406449,0.000460829,Chiroptera,-0.0283268,"Chiroptera,Noctilionidae",-0.0284159,"Chiroptera,Noctilionidae,Noctilio",-0.0391935,"Chiroptera,Noctilionidae,Noctilio,albiventris",-1.08335,Noctilio_albiventris_KX381307.1,0.989,k__Metazoa; p__Chordata; c__Mammalia; o__Chiroptera; f__Noctilionidae; g__Noctilio; s__leporinus,1,,,,,,,,,,,,,,,,
AC0257,U,12S,OTU405962313,all-OTU,12S,220,221,1,3,0.000406449,0.000460829,Carnivora,-0.103977,"Carnivora,Felidae",-0.103977,"Carnivora,Felidae,Panthera",-0.110388,"Carnivora,Felidae,Panthera,unk",-0.13148,Panthera_tigris_AY736559.1,0.955,k__Metazoa; p__Chordata; c__Mammalia; o__Rodentia; f__Cricetidae; g__Akodon; s__montensis,0.91364,,,,,,,,,,,,,,,,
AC0258,U,12S,OTU999774133,all-OTU,12S,220,224,4,167,0.005886707,0.592198582,Sirenia,-0.00528543,"Sirenia,Trichechidae",-0.00528567,"Sirenia,Trichechidae,Trichechus",-0.0116285,"Sirenia,Trichechidae,Trichechus,inunguis",-0.356901,Trichechus_inunguis_MW073826.1,0.982,k__Metazoa; p__Chordata; c__Mammalia; o__Sirenia; f__Trichechidae; g__Trichechus; s__manatus,1,,,,,,,,,,,,,,,,
AC0258,U,12S,OTU665151296,all-OTU,12S,220,222,2,113,0.003983221,0.40070922,Chiroptera,-0.0283268,"Chiroptera,Noctilionidae",-0.0284159,"Chiroptera,Noctilionidae,Noctilio",-0.0391935,"Chiroptera,Noctilionidae,Noctilio,albiventris",-1.08335,Noctilio_albiventris_KX381307.1,0.989,k__Metazoa; p__Chordata; c__Mammalia; o__Chiroptera; f__Noctilionidae; g__Noctilio; s__leporinus,1,,,,,,,,,,,,,,,,
AC0258,U,12S,OTU785684198,all-OTU,12S,220,225,5,2,7.04995E-05,0.007092199,Artiodactyla,-0.000111624,"Artiodactyla,Delphinidae",-0.000142834,"Artiodactyla,Delphinidae,Lagenorhynchus",-0.267674,"Artiodactyla,Delphinidae,Lagenorhynchus,unk",-0.26839,Lagenorhynchus_australis_OQ776906.1,0.941,k__Metazoa; p__Chordata; c__Mammalia; o__Artiodactyla; f__Delphinidae; g__Sotalia; s__fluviatilis,0.9955,,,,,,,,,,,,,,,,
AC0258,U,12S,OTU244576181,all-OTU,16S,120,101,19,3565,0.125665339,1,"root,unk",-7.02141E-06,,,,,,,,,Unassigned,,Chordata;Mammalia;Lagomorpha;Leporidae;Lepus;Lepus capensis,1,32,69,,,,,,,,,,,,
AC0262,U,12S,OTU999774133,all-OTU,12S,220,224,4,3529,0.41591043,0.987409065,Sirenia,-0.00528543,"Sirenia,Trichechidae",-0.00528567,"Sirenia,Trichechidae,Trichechus",-0.0116285,"Sirenia,Trichechidae,Trichechus,inunguis",-0.356901,Trichechus_inunguis_MW073826.1,0.982,k__Metazoa; p__Chordata; c__Mammalia; o__Sirenia; f__Trichechidae; g__Trichechus; s__manatus,1,,,,,,,,,,,,,,,,
AC0262,U,12S,OTU560424198,all-OTU,12S,220,222,2,16,0.001885681,0.004476777,Primates,-0.000112938,"Primates,Cebidae",-0.000211989,"Primates,Cebidae,Sapajus",-0.286053,"Primates,Cebidae,Sapajus,unk",-0.286183,Sapajus_nigritus_JN400578.1,0.955,k__Metazoa; p__Chordata; c__Mammalia; o__Primates; f__Cebidae; g__Sapajus; s__nigritus,0.99539,,,,,,,,,,,,,,,,
AC0262,U,12S,OTU216452375,all-OTU,12S,220,220,0,13,0.001532115,0.003637381,Primates,-0.326771,"Primates,Cebidae",-0.547515,"Primates,Cebidae,unk",-0.547675,,,Homo_sapiens_AF121219.1,0.686,k__Metazoa; p__Chordata; c__Mammalia; o__Primates; f__Cebidae; g__Sapajus; s__nigritus,0.85253,Chordata;Mammalia;Primates;Cebidae;Callithrix;Callithrix jacchus,0.94009,217,,,,,,,,,,,,,
AC0262,U,12S,OTU504716109,all-OTU,12S,220,214,6,12,0.00141426,0.003357583,"root,unk",-0.793989,"Rodentia,unk",-1.74579,"Carnivora,Canidae,unk",-2.80956,,,Lycalopex_sechurae_KT448284.1,0.603,k__Metazoa; p__Chordata; c__Mammalia; o__Carnivora; f__Canidae; g__Speothos; s__venaticus,0.81448,Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,0.98585,212,,,,,,,,,,,,,
AC0262,U,12S,OTU665151296,all-OTU,12S,220,222,2,4,0.00047142,0.001119194,Chiroptera,-0.0283268,"Chiroptera,Noctilionidae",-0.0284159,"Chiroptera,Noctilionidae,Noctilio",-0.0391935,"Chiroptera,Noctilionidae,Noctilio,albiventris",-1.08335,Noctilio_albiventris_KX381307.1,0.989,k__Metazoa; p__Chordata; c__Mammalia; o__Chiroptera; f__Noctilionidae; g__Noctilio; s__leporinus,1,,,,,,,,,,,,,,,,
AC0263,U,12S,OTU999774133,all-OTU,12S,220,224,4,429,0.07210084,0.426865672,Sirenia,-0.00528543,"Sirenia,Trichechidae",-0.00528567,"Sirenia,Trichechidae,Trichechus",-0.0116285,"Sirenia,Trichechidae,Trichechus,inunguis",-0.356901,Trichechus_inunguis_MW073826.1,0.982,k__Metazoa; p__Chordata; c__Mammalia; o__Sirenia; f__Trichechidae; g__Trichechus; s__manatus,1,,,,,,,,,,,,,,,,
AC0263,U,12S,OTU881582919,all-OTU,12S,220,222,2,334,0.056134454,0.332338308,Artiodactyla,-0.000135013,"Artiodactyla,Bovidae",-0.000161576,"Artiodactyla,Bovidae,Bos",-0.0722006,"Artiodactyla,Bovidae,Bos,unk",-0.0728959,Bos_taurus_AB074962.1,0.964,k__Metazoa; p__Chordata; c__Mammalia; o__Artiodactyla; f__Bovidae; g__Bos; s__taurus,0.99543,,,,,,,,,,,,,,,,
AC0263,U,12S,OTU41234254,all-OTU,12S,220,216,4,237,0.039831933,0.235820896,"root,unk",-0.07859,,,,,,,Equus_caballus_AB859014.1,0.528,k__Metazoa; p__Chordata; c__Mammalia; o__Perissodactyla; f__Equidae; g__Equus; s__caballus,0.77828,Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,0.99048,210,6,,,,,,,,,,,,
AC0263,U,12S,OTU704034742,all-OTU,12S,220,221,1,3,0.000504202,0.002985075,Carnivora,-0.039071,"Carnivora,Felidae",-0.0390782,"Carnivora,Felidae,Panthera",-0.0614494,"Carnivora,Felidae,Panthera,unk",-0.082541,Panthera_tigris_AY736559.1,0.955,k__Metazoa; p__Chordata; c__Mammalia; o__Pilosa; f__Bradypodidae; g__Bradypus; s__torquatus,0.94977,,,,,,,,,,,,,,,,
AC0263,U,12S,OTU560424198,all-OTU,12S,220,222,2,2,0.000336134,0.00199005,Primates,-0.000112938,"Primates,Cebidae",-0.000211989,"Primates,Cebidae,Sapajus",-0.286053,"Primates,Cebidae,Sapajus,unk",-0.286183,Sapajus_nigritus_JN400578.1,0.955,k__Metazoa; p__Chordata; c__Mammalia; o__Primates; f__Cebidae; g__Sapajus; s__nigritus,0.99539,,,,,,,,,,,,,,,,
AC0289,U,12S,OTU881582919,all-OTU,12S,220,222,2,141,0.040822235,0.496478873,Artiodactyla,-0.000135013,"Artiodactyla,Bovidae",-0.000161576,"Artiodactyla,Bovidae,Bos",-0.0722006,"Artiodactyla,Bovidae,Bos,unk",-0.0728959,Bos_taurus_AB074962.1,0.964,k__Metazoa; p__Chordata; c__Mammalia; o__Artiodactyla; f__Bovidae; g__Bos; s__taurus,0.99543,,,,,,,,,,,,,,,,
AC0289,U,12S,OTU41234254,all-OTU,12S,220,216,4,81,0.023451071,0.285211268,"root,unk",-0.07859,,,,,,,Equus_caballus_AB859014.1,0.528,k__Metazoa; p__Chordata; c__Mammalia; o__Perissodactyla; f__Equidae; g__Equus; s__caballus,0.77828,Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,0.99048,210,6,,,,,,,,,,,,
AC0289,U,12S,OTU561591578,all-OTU,12S,220,212,8,56,0.016213086,0.197183099,"root,unk",-0.240907,"Carnivora,unk",-2.86068,,,,,Lycalopex_sechurae_KT448284.1,0.575,k__Metazoa; p__Chordata; c__Mammalia; o__Carnivora; f__Canidae; g__Chrysocyon; s__brachyurus,0.7973,Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,0.99522,209,,,,,,,,,,,,,
AC0289,U,12S,OTU504716109,all-OTU,12S,220,214,6,6,0.001737116,0.021126761,"root,unk",-0.793989,"Rodentia,unk",-1.74579,"Carnivora,Canidae,unk",-2.80956,,,Lycalopex_sechurae_KT448284.1,0.603,k__Metazoa; p__Chordata; c__Mammalia; o__Carnivora; f__Canidae; g__Speothos; s__venaticus,0.81448,Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,0.98585,212,,,,,,,,,,,,,
AC0293,U,12S,OTU355307225,all-OTU,12S,220,224,4,2443,0.382735391,0.552840009,Primates,-0.0870043,"Primates,Hominidae",-0.0870054,"Primates,Hominidae,Homo",-0.0975644,"Primates,Hominidae,Homo,unk",-0.380974,Homo_sapiens_AF121219.1,0.986,k__Metazoa; p__Chordata; c__Mammalia; o__Primates; f__Hominidae; g__Homo; s__sapiens,0.99099,,,,,,,,,,,,,,,,
AC0293,U,12S,OTU878429863,all-OTU,12S,220,221,1,1582,0.247845841,0.357999547,Rodentia,-3.72356E-05,"Rodentia,Dasyproctidae",-0.000113387,"Rodentia,Dasyproctidae,Dasyprocta",-0.0295902,"Rodentia,Dasyproctidae,Dasyprocta,punctata",-0.20712,Dasyprocta_punctata_AF433920.1,0.973,k__Metazoa; p__Chordata; c__Mammalia; o__Rodentia; f__Dasyproctidae; g__Dasyprocta; s__punctata,0.99541,,,,,,,,,,,,,,,,
AC0293,U,12S,OTU881582919,all-OTU,12S,220,222,2,181,0.028356572,0.040959493,Artiodactyla,-0.000135013,"Artiodactyla,Bovidae",-0.000161576,"Artiodactyla,Bovidae,Bos",-0.0722006,"Artiodactyla,Bovidae,Bos,unk",-0.0728959,Bos_taurus_AB074962.1,0.964,k__Metazoa; p__Chordata; c__Mammalia; o__Artiodactyla; f__Bovidae; g__Bos; s__taurus,0.99543,,,,,,,,,,,,,,,,
AC0293,U,12S,OTU216452375,all-OTU,12S,220,220,0,123,0.019269936,0.027834352,Primates,-0.326771,"Primates,Cebidae",-0.547515,"Primates,Cebidae,unk",-0.547675,,,Homo_sapiens_AF121219.1,0.686,k__Metazoa; p__Chordata; c__Mammalia; o__Primates; f__Cebidae; g__Sapajus; s__nigritus,0.85253,Chordata;Mammalia;Primates;Cebidae;Callithrix;Callithrix jacchus,0.94009,217,,,,,,,,,,,,,
AC0293,U,12S,OTU561591578,all-OTU,12S,220,212,8,45,0.007049977,0.010183299,"root,unk",-0.240907,"Carnivora,unk",-2.86068,,,,,Lycalopex_sechurae_KT448284.1,0.575,k__Metazoa; p__Chordata; c__Mammalia; o__Carnivora; f__Canidae; g__Chrysocyon; s__brachyurus,0.7973,Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,0.99522,209,,,,,,,,,,,,,
AC0293,U,12S,OTU41234254,all-OTU,12S,220,216,4,27,0.004229986,0.00610998,"root,unk",-0.07859,,,,,,,Equus_caballus_AB859014.1,0.528,k__Metazoa; p__Chordata; c__Mammalia; o__Perissodactyla; f__Equidae; g__Equus; s__caballus,0.77828,Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,0.99048,210,6,,,,,,,,,,,,
AC0293,U,12S,OTU504716109,all-OTU,12S,220,214,6,18,0.002819991,0.00407332,"root,unk",-0.793989,"Rodentia,unk",-1.74579,"Carnivora,Canidae,unk",-2.80956,,,Lycalopex_sechurae_KT448284.1,0.603,k__Metazoa; p__Chordata; c__Mammalia; o__Carnivora; f__Canidae; g__Speothos; s__venaticus,0.81448,Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,0.98585,212,,,,,,,,,,,,,
AC0293,U,12S,OTU244576181,all-OTU,16S,120,101,19,5,0.000783331,1,"root,unk",-7.02141E-06,,,,,,,,,Unassigned,,Chordata;Mammalia;Lagomorpha;Leporidae;Lepus;Lepus capensis,1,32,69,,,,,,,,,,,,
AC0311,U,12S,OTU355307225,all-OTU,12S,220,224,4,1855,0.485602094,0.945945946,Primates,-0.0870043,"Primates,Hominidae",-0.0870054,"Primates,Hominidae,Homo",-0.0975644,"Primates,Hominidae,Homo,unk",-0.380974,Homo_sapiens_AF121219.1,0.986,k__Metazoa; p__Chordata; c__Mammalia; o__Primates; f__Hominidae; g__Homo; s__sapiens,0.99099,,,,,,,,,,,,,,,,
AC0311,U,12S,OTU216452375,all-OTU,12S,220,220,0,52,0.013612565,0.026517083,Primates,-0.326771,"Primates,Cebidae",-0.547515,"Primates,Cebidae,unk",-0.547675,,,Homo_sapiens_AF121219.1,0.686,k__Metazoa; p__Chordata; c__Mammalia; o__Primates; f__Cebidae; g__Sapajus; s__nigritus,0.85253,Chordata;Mammalia;Primates;Cebidae;Callithrix;Callithrix jacchus,0.94009,217,,,,,,,,,,,,,
AC0311,U,12S,OTU881582919,all-OTU,12S,220,222,2,44,0.011518325,0.022437532,Artiodactyla,-0.000135013,"Artiodactyla,Bovidae",-0.000161576,"Artiodactyla,Bovidae,Bos",-0.0722006,"Artiodactyla,Bovidae,Bos,unk",-0.0728959,Bos_taurus_AB074962.1,0.964,k__Metazoa; p__Chordata; c__Mammalia; o__Artiodactyla; f__Bovidae; g__Bos; s__taurus,0.99543,,,,,,,,,,,,,,,,
AC0311,U,12S,OTU561591578,all-OTU,12S,220,212,8,7,0.001832461,0.003569607,"root,unk",-0.240907,"Carnivora,unk",-2.86068,,,,,Lycalopex_sechurae_KT448284.1,0.575,k__Metazoa; p__Chordata; c__Mammalia; o__Carnivora; f__Canidae; g__Chrysocyon; s__brachyurus,0.7973,Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,0.99522,209,,,,,,,,,,,,,
AC0311,U,12S,OTU504716109,all-OTU,12S,220,214,6,3,0.00078534,0.001529832,"root,unk",-0.793989,"Rodentia,unk",-1.74579,"Carnivora,Canidae,unk",-2.80956,,,Lycalopex_sechurae_KT448284.1,0.603,k__Metazoa; p__Chordata; c__Mammalia; o__Carnivora; f__Canidae; g__Speothos; s__venaticus,0.81448,Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,0.98585,212,,,,,,,,,,,,,
C-mix-1,CH11,COI,OTU91947462,all-OTU,COI,250,255,5,119,0.005127763,0.340974212,Primates,-0.021893,"Primates,Atelidae",-0.0222689,"Primates,Atelidae,Brachyteles",-0.109605,"Primates,Atelidae,Brachyteles,unk",-0.109623,Brachyteles_arachnoides_GBMA5933-13,0.788,k__Metazoa; p__Chordata; c__Mammalia; o__Primates; f__Atelidae; g__Alouatta; s__guariba,0.98016,,,,,,,,,,,,,,,,
C-mix-1,CH11,COI,OTU554193650,all-OTU,COI,250,255,5,91,0.003921231,0.260744986,Pilosa,-0.749309,"Pilosa,Myrmecophagidae",-0.749366,"Pilosa,Myrmecophagidae,Myrmecophaga",-1.16204,"Pilosa,Myrmecophagidae,Myrmecophaga,unk",-1.16206,Myrmecophaga_tridactyla_GBMA27852-19,0.867,k__Metazoa; p__Chordata; c__Mammalia; o__Pilosa; f__Myrmecophagidae; g__Myrmecophaga; s__tridactyla,0.94444,,,,,,,,,,,,,,,,
C-mix-1,CH11,COI,OTU885712230,all-OTU,COI,250,254,4,56,0.002413065,0.160458453,Chiroptera,-0.0060712,"Chiroptera,Molossidae",-0.0061309,"Chiroptera,Molossidae,Molossops",-0.386423,"Chiroptera,Molossidae,Molossops,unk",-0.735843,Molossops_temminckii_BCBN820-05,0.965,k__Metazoa; p__Chordata; c__Mammalia; o__Chiroptera; f__Molossidae; g__Molossops; s__temminckii,0.98246,,,,,,,,,,,,,,,,
C-mix-1,CH11,COI,OTU946965879,all-OTU,COI,250,255,5,32,0.001378894,0.091690544,Rodentia,-0.662772,"Rodentia,Cricetidae",-0.76696,"Rodentia,Cricetidae,unk",-0.845458,,,Dasypus_beniensis_MH710605.1,0.71,k__Metazoa; p__Chordata; c__Actinopteri; o__Gonorynchiformes; f__Kneriidae; g__Phractolaemus; s__ansorgii,0.8254,Chordata;Mammalia;Rodentia;Muridae;Hybomys;Hybomys sp. n. VVB-2020,0.83071,254,1,,,,,,,,,,,,
C-mix-1,CH11,COI,OTU678976272,all-OTU,COI,250,254,4,21,0.000904899,0.06017192,Rodentia,-1.85737,"Artiodactyla,Cervidae",-2.53147,"Artiodactyla,Cervidae,unk",-2.62824,,,Bradypus_pygmaeus_GBCOC18838-23,0.747,k__Metazoa; p__Chordata; c__Mammalia; o__Pilosa; f__Bradypodidae; g__Bradypus; s__variegatus,0.88048,Chordata;Mammalia;Pilosa;Megatheriidae;Nothrotheriops;Nothrotheriops shastensis,0.91235,251,3,,,,,,,,,,,,
C-mix-1,CH11,COI,OTU330696189,all-OTU,COI,250,255,5,18,0.000775628,0.051575931,Chiroptera,-0.000835773,"Chiroptera,Emballonuridae",-0.000842356,"Chiroptera,Emballonuridae,Rhynchonycteris",-0.323144,"Chiroptera,Emballonuridae,Rhynchonycteris,unk",-0.394663,Rhynchonycteris_naso_ABECB163-08,0.948,k__Metazoa; p__Chordata; c__Mammalia; o__Chiroptera; f__Emballonuridae; g__Rhynchonycteris; s__naso,0.99095,,,,,,,,,,,,,,,,
